dim_onset,PID,acc,confidence,confidence_se
2,01LF,0,0.5876888888888889,0.04036804318608363
2,01LF,1,0.6856857142857142,0.012088357897357854
2,01LF,NA,NA,NA
2,01al,0,0.5088625,0.03611957379708623
2,01al,1,0.6426444444444445,0.07008798327937835
2,01al,NA,NA,NA
2,01cs,0,0.7029,0.020117378517553963
2,01cs,1,0.7173111111111111,0.014635768853101049
2,01cs,NA,NA,NA
2,02CS,0,0.70994,0.04702419567861657
2,02CS,1,0.7774153846153846,0.030607468386576756
2,02CS,NA,NA,NA
2,02LF,0,0.6476124999999999,0.04815162224073467
2,02LF,1,0.6879625,0.045528319272232616
2,02LF,NA,NA,NA
2,02al,0,0.597075,0.05648039967051684
2,02al,1,0.8622833333333333,0.06136357348356284
2,02al,NA,NA,NA
2,03AL,0,0.7140454545454545,0.07954423265675215
2,03AL,1,0.8452428571428572,0.0657674676192748
2,03AL,NA,NA,NA
2,03CS,0,0.63298,0.06178216764039803
2,03CS,1,0.8422,0.022039353787381456
2,03CS,NA,NA,NA
2,03LF,0,0.7452666666666666,0.011642936148437862
2,03LF,1,0.7307266666666666,0.010433630938559845
2,03LF,NA,NA,NA
2,04AL,0,0.5696428571428571,0.057415451485784384
2,04AL,1,0.6150909090909091,0.05400834670183732
2,04CS,0,0.7039,0.09771131370801575
2,04CS,1,0.663575,0.045212660133350194
2,04CS,NA,NA,NA
2,04LF,0,0.6657833333333334,0.07176487880681291
2,04LF,1,0.7138,0.051786339648950463
2,04LF,NA,NA,NA
2,05AL,0,0.6346090909090909,0.065048800279835
2,05AL,1,0.7148,0.06650786635205512
2,05CS,0,0.59195,0.04425582810049317
2,05CS,1,0.49422499999999997,0.05569245623601975
2,05CS,NA,NA,NA
2,06AL,0,0.4364,0.05897992356588567
2,06AL,1,0.6454,0.0499928651999313
2,06CS,0,0.7235727272727273,0.04506735047292893
2,06CS,1,0.49008,0.025813311720319237
2,06CS,NA,NA,NA
2,07CS,0,0.4677454545454545,0.0260812465481009
2,07CS,1,0.5499142857142857,0.04601807313606667
2,07al,0,0.7496636363636363,0.053104620522771484
2,07al,1,0.6811285714285714,0.06484611759170102
5,01LF,0,0.64131,0.045983214688325925
5,01LF,1,0.6279285714285714,0.046055156249815835
5,01LF,NA,NA,NA
5,01al,0,0.5880666666666667,0.09896160331833646
5,01al,1,0.7217692307692307,0.045442336518761006
5,01al,NA,NA,NA
5,01cs,0,0.71648,0.012377920991182808
5,01cs,1,0.6465,0.03133513455402119
5,01cs,NA,NA,NA
5,02CS,0,0.6301,0.04814442597215469
5,02CS,1,0.71101,0.0402178763480252
5,02CS,NA,NA,NA
5,02LF,0,0.5696714285714286,0.04771425743727493
5,02LF,1,0.59946,0.04576865356198253
5,02LF,NA,NA,NA
5,02al,0,0.5833200000000001,0.10634605629084802
5,02al,1,0.6997833333333333,0.049084083970072474
5,02al,NA,NA,NA
5,03AL,0,0.6947333333333333,0.09352330321082113
5,03AL,1,0.9004083333333334,0.04711879257474113
5,03AL,NA,NA,NA
5,03CS,0,0.6557166666666667,0.05110518277164059
5,03CS,1,0.7916583333333334,0.034110317839641795
5,03CS,NA,NA,NA
5,03LF,0,0.7338142857142858,0.007045016647289132
5,03LF,1,0.7453363636363637,0.010309520306161587
5,03LF,NA,NA,NA
5,04AL,0,0.5277090909090909,0.040644573042286636
5,04AL,1,0.5732,0.06296313125315073
5,04AL,NA,NA,NA
5,04CS,0,0.5289333333333334,0.04603956366380102
5,04CS,1,0.7250333333333333,0.03571832890933383
5,04CS,NA,NA,NA
5,04LF,0,0.6247166666666667,0.0370826455180933
5,04LF,1,0.771875,0.05405706738549369
5,04LF,NA,NA,NA
5,05AL,0,0.6874,0.060015212396515756
5,05AL,1,0.546775,0.05090709829607558
5,05CS,0,0.49361333333333335,0.03950679054075962
5,05CS,1,0.4893666666666666,0.008239985029244347
5,05CS,NA,NA,NA
5,06AL,0,0.5827333333333333,0.11398842795824865
5,06AL,1,0.6726866666666667,0.055878053419214084
5,06AL,NA,NA,NA
5,06CS,0,0.6822153846153847,0.05303162581150439
5,06CS,1,0.66026,0.09383248960586751
5,06CS,NA,NA,NA
5,07CS,0,0.4264,0.02901955269748926
5,07CS,1,0.47074,0.043998581601471444
5,07al,0,0.6766153846153846,0.04546513307329816
5,07al,1,0.76952,0.04429348842881528
5,07al,NA,NA,NA
8,01LF,0,0.6902181818181818,0.028297446618469398
8,01LF,1,0.6861666666666667,0.06800527670611416
8,01LF,NA,NA,NA
8,01al,0,0.43936,0.03347891297443137
8,01al,1,0.6828111111111111,0.0791532226268968
8,01al,NA,NA,NA
8,01cs,0,0.6674166666666667,0.02977808061729602
8,01cs,1,0.6873333333333334,0.04155680639413506
8,01cs,NA,NA,NA
8,02CS,0,0.6934444444444444,0.04881505637889636
8,02CS,1,0.74115,0.03922399293716072
8,02CS,NA,NA,NA
8,02LF,0,0.5989,0.06023537905002068
8,02LF,1,0.682175,0.07331574599685882
8,02LF,NA,NA,NA
8,02al,0,0.7702,0.0593912740728164
8,02al,1,0.8357,0.05320598331948405
8,02al,NA,NA,NA
8,03AL,0,0.86435,0.003006014731262075
8,03AL,1,0.94181875,0.036320007298603886
8,03AL,NA,NA,NA
8,03CS,0,0.5931888888888889,0.055145976986619764
8,03CS,1,0.8680222222222223,0.02961763218821788
8,03CS,NA,NA,NA
8,03LF,0,0.7444777777777778,0.007183078781941462
8,03LF,1,0.7192777777777778,0.004729374327493466
8,03LF,NA,NA,NA
8,04AL,0,0.5238545454545455,0.03032411578145657
8,04AL,1,0.6253857142857142,0.048634103454742554
8,04CS,0,0.69615,0.03946286509376572
8,04CS,1,0.79998,0.06300313455258676
8,04CS,NA,NA,NA
8,04LF,0,0.52484,0.09895047820579118
8,04LF,1,0.8370076923076923,0.020458031764252347
8,04LF,NA,NA,NA
8,05AL,0,0.5255857142857143,0.0495757250480387
8,05AL,1,0.7058363636363636,0.051794805575098433
8,05CS,0,0.5574333333333333,0.03544955854166058
8,05CS,1,0.5975333333333334,0.08884617556519497
8,05CS,NA,NA,NA
8,06AL,0,0.53325,0.0850058371660245
8,06AL,1,0.6228428571428571,0.058260852180372906
8,06AL,NA,NA,NA
8,06CS,0,0.70995,0.05027862749364651
8,06CS,1,0.635625,0.06322412425819526
8,06CS,NA,NA,NA
8,07CS,0,0.4552333333333333,0.032906111644430254
8,07CS,1,0.4681,0.06733830252396295
8,07al,0,0.73864,0.04260731189534076
8,07al,1,0.7786125,0.046399221639255216
