PID,confidence_dim2_acc0,confidence_dim2_acc1,confidence_dim2_accNA,confidence_dim5_acc0,confidence_dim5_acc1,confidence_dim5_accNA,confidence_dim8_acc0,confidence_dim8_acc1,confidence_dim8_accNA,confidence_se_dim2_acc0,confidence_se_dim2_acc1,confidence_se_dim2_accNA,confidence_se_dim5_acc0,confidence_se_dim5_acc1,confidence_se_dim5_accNA,confidence_se_dim8_acc0,confidence_se_dim8_acc1,confidence_se_dim8_accNA
01LF,0.5876888888888889,0.6856857142857142,NA,0.64131,0.6279285714285714,NA,0.6902181818181818,0.6861666666666667,NA,0.04036804318608363,0.012088357897357854,NA,0.045983214688325925,0.046055156249815835,NA,0.028297446618469398,0.06800527670611416,NA
01al,0.5088625,0.6426444444444445,NA,0.5880666666666667,0.7217692307692307,NA,0.43936,0.6828111111111111,NA,0.03611957379708623,0.07008798327937835,NA,0.09896160331833646,0.045442336518761006,NA,0.03347891297443137,0.0791532226268968,NA
01cs,0.7029,0.7173111111111111,NA,0.71648,0.6465,NA,0.6674166666666667,0.6873333333333334,NA,0.020117378517553963,0.014635768853101049,NA,0.012377920991182808,0.03133513455402119,NA,0.02977808061729602,0.04155680639413506,NA
02CS,0.70994,0.7774153846153846,NA,0.6301,0.71101,NA,0.6934444444444444,0.74115,NA,0.04702419567861657,0.030607468386576756,NA,0.04814442597215469,0.0402178763480252,NA,0.04881505637889636,0.03922399293716072,NA
02LF,0.6476124999999999,0.6879625,NA,0.5696714285714286,0.59946,NA,0.5989,0.682175,NA,0.04815162224073467,0.045528319272232616,NA,0.04771425743727493,0.04576865356198253,NA,0.06023537905002068,0.07331574599685882,NA
02al,0.597075,0.8622833333333333,NA,0.5833200000000001,0.6997833333333333,NA,0.7702,0.8357,NA,0.05648039967051684,0.06136357348356284,NA,0.10634605629084802,0.049084083970072474,NA,0.0593912740728164,0.05320598331948405,NA
03AL,0.7140454545454545,0.8452428571428572,NA,0.6947333333333333,0.9004083333333334,NA,0.86435,0.94181875,NA,0.07954423265675215,0.0657674676192748,NA,0.09352330321082113,0.04711879257474113,NA,0.003006014731262075,0.036320007298603886,NA
03CS,0.63298,0.8422,NA,0.6557166666666667,0.7916583333333334,NA,0.5931888888888889,0.8680222222222223,NA,0.06178216764039803,0.022039353787381456,NA,0.05110518277164059,0.034110317839641795,NA,0.055145976986619764,0.02961763218821788,NA
03LF,0.7452666666666666,0.7307266666666666,NA,0.7338142857142858,0.7453363636363637,NA,0.7444777777777778,0.7192777777777778,NA,0.011642936148437862,0.010433630938559845,NA,0.007045016647289132,0.010309520306161587,NA,0.007183078781941462,0.004729374327493466,NA
04AL,0.5696428571428571,0.6150909090909091,NA,0.5277090909090909,0.5732,NA,0.5238545454545455,0.6253857142857142,NA,0.057415451485784384,0.05400834670183732,NA,0.040644573042286636,0.06296313125315073,NA,0.03032411578145657,0.048634103454742554,NA
04CS,0.7039,0.663575,NA,0.5289333333333334,0.7250333333333333,NA,0.69615,0.79998,NA,0.09771131370801575,0.045212660133350194,NA,0.04603956366380102,0.03571832890933383,NA,0.03946286509376572,0.06300313455258676,NA
04LF,0.6657833333333334,0.7138,NA,0.6247166666666667,0.771875,NA,0.52484,0.8370076923076923,NA,0.07176487880681291,0.051786339648950463,NA,0.0370826455180933,0.05405706738549369,NA,0.09895047820579118,0.020458031764252347,NA
05AL,0.6346090909090909,0.7148,NA,0.6874,0.546775,NA,0.5255857142857143,0.7058363636363636,NA,0.065048800279835,0.06650786635205512,NA,0.060015212396515756,0.05090709829607558,NA,0.0495757250480387,0.051794805575098433,NA
05CS,0.59195,0.49422499999999997,NA,0.49361333333333335,0.4893666666666666,NA,0.5574333333333333,0.5975333333333334,NA,0.04425582810049317,0.05569245623601975,NA,0.03950679054075962,0.008239985029244347,NA,0.03544955854166058,0.08884617556519497,NA
06AL,0.4364,0.6454,NA,0.5827333333333333,0.6726866666666667,NA,0.53325,0.6228428571428571,NA,0.05897992356588567,0.0499928651999313,NA,0.11398842795824865,0.055878053419214084,NA,0.0850058371660245,0.058260852180372906,NA
06CS,0.7235727272727273,0.49008,NA,0.6822153846153847,0.66026,NA,0.70995,0.635625,NA,0.04506735047292893,0.025813311720319237,NA,0.05303162581150439,0.09383248960586751,NA,0.05027862749364651,0.06322412425819526,NA
07CS,0.4677454545454545,0.5499142857142857,NA,0.4264,0.47074,NA,0.4552333333333333,0.4681,NA,0.0260812465481009,0.04601807313606667,NA,0.02901955269748926,0.043998581601471444,NA,0.032906111644430254,0.06733830252396295,NA
07al,0.7496636363636363,0.6811285714285714,NA,0.6766153846153846,0.76952,NA,0.73864,0.7786125,NA,0.053104620522771484,0.06484611759170102,NA,0.04546513307329816,0.04429348842881528,NA,0.04260731189534076,0.046399221639255216,NA
